Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
16861 Cortez Ct,https://www.redfin.com/OR/Lake-Oswego/16861-Cortez-Ct-97035/home/25995939,810000,3,2,1886,No,1971,Yes,No,No,Single Family Residential,Clackamas County,No
8 Britten Ct,https://www.redfin.com/OR/Lake-Oswego/8-Britten-Ct-97035/home/25822316,520000,2,2,1175,Yes,1971,Yes,Yes,No,Single Family Residential,Clackamas County,No
44 Eagle Crest Dr #13,https://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-13/home/26503179,299000,3,2,1085,Yes,1979,No,Yes,No,Condo/Co-op,Multnomah County,No
3433 Mcnary Pkwy #805,https://www.redfin.com/OR/Lake-Oswego/3433-McNary-Pkwy-97035/unit-805/home/25838636,344000,2,2.5,1136,Yes,1994,No,Yes,No,Condo/Co-op,Multnomah County,No
3433 Mcnary Pkwy #505,https://www.redfin.com/OR/Lake-Oswego/3433-McNary-Pkwy-97035/unit-505/home/26560899,360000,2,2.5,1608,Yes,1994,No,Yes,No,Condo/Co-op,Multnomah County,No
120 Kingsgate Rd,https://www.redfin.com/OR/Lake-Oswego/120-Kingsgate-Rd-97035/home/26020217,715000,3,2.5,1699,No,1988,Yes,Yes,No,Single Family Residential,Clackamas County,No
5936 Dove Ct,https://www.redfin.com/OR/Lake-Oswego/5936-Dove-Ct-97035/home/26058696,854705,4,2,1980,No,1988,Yes,No,No,Single Family Residential,Clackamas County,No
46 Crestfield Ct,https://www.redfin.com/OR/Lake-Oswego/46-Crestfield-Ct-97035/home/26042585,305000,2,1,923,No,1980,Yes,Yes,No,Condo/Co-op,Clackamas County,No
47 Eagle Crest Dr Unit 48C,https://www.redfin.com/OR/Lake-Oswego/47-Eagle-Crest-Dr-97035/unit-48C/home/25868421,228460,1,1,696,No,1979,No,No,No,Condo/Co-op,Multnomah County,No
4312 Botticelli St,https://www.redfin.com/OR/Lake-Oswego/4312-Botticelli-St-97035/home/26033326,427468,2,2.5,2285,No,1977,No,No,No,Condo/Co-op,Clackamas County,No
5751 Washington Ct,https://www.redfin.com/OR/Lake-Oswego/5751-Washington-Ct-97035/home/25756134,849087,4,2.5,2427,No,2023,No,No,No,Single Family Residential,Clackamas County,No
3096 Wembley Park Rd,https://www.redfin.com/OR/Lake-Oswego/3096-Wembley-Park-Rd-97034/home/113922946,2000000,5,4,4165,Yes,2017,Yes,No,No,Single Family Residential,Clackamas County,No
4694 Winthrop Ct,https://www.redfin.com/OR/Lake-Oswego/4694-Winthrop-Ct-97035/home/25979480,990000,4,2.5,2250,No,1992,Yes,Yes,No,Single Family Residential,Clackamas County,No
18521 Don Lee Way,https://www.redfin.com/OR/Lake-Oswego/18521-Don-Lee-Way-97035/home/26048331,599999,3,2,994,No,1964,No,No,No,Single Family Residential,Clackamas County,No
4 Touchstone #117,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-117/home/25970747,265000,2,2,984,No,1970,No,Yes,No,Condo/Co-op,Clackamas County,No
4322 Collins Way,https://www.redfin.com/OR/Lake-Oswego/4322-Collins-Way-97035/home/25944869,815000,5,3,2112,Yes,1972,Yes,No,No,Single Family Residential,Clackamas County,No
